Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент",ТЕСТ MAX,1. Приветствие (sweetgold),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею
,НОВАЯ ВОРОНКА ОП1,3. Цвет свитшота,"Отлично, в Ваш город доставляем Почтой России или СДЭК (но СДЭК быстрее, надежнее и бюджетнее)
Оплата доставки уже при получении у нас будет 

[Имя], а цвет для свитшота какой выберем?

[photo-228420497_456240880]",,,,,,,,,,,,,,,,,,,,,
"Отправляем, если клиенту не подошли цвета или нужны дополнительные",НОВАЯ ВОРОНКА ОП1,❗Доп. цвета свитшотов,"Вот такие доп. цвета есть для свитшотов)

Какой Вам приглянулся?

[photo-228420497_456240713]",,,,,,,,,,,,,,,,,,,,,
"Уточняем детали заказа - размер клиента, рост и вес",НОВАЯ ВОРОНКА ОП1,4. Уточняем размер,"[Имя], цвет есть! Пожалуйста, назовите вес и рост, чтобы мы смогли точно подобрать размер. Получится сейчас?",,,,,,,,,,,,,,,,,,,,,
"Предвратильно на словах согласовываем дизайн с клиентом, чтобы далее было проще его передать дизайнеру",НОВАЯ ВОРОНКА ОП1,4.1 Согласовываем дизайн (свитшот),"Зафиксировала размер! Теперь давайте согласуем дизайн:

На груди слева - герб РФ
На груди по центру - надпись ""РОССИЯ""
На рукаве справа - флаг РФ
На спине - герб РФ +


Всё верно?)",,,,,,,,,,,,,,,,,,,,,
Если клиенту сделали бесплатный макет (без предоплаты) и он захотел внести правки,НОВАЯ ВОРОНКА ОП1,"❗Когда много правок, берем предоплату","[Имя], у нас с вами закончились бесплатные правки))) Мы обычно макет делаем после оформления.

Если в остальном все супер, то я предлагаю оформить и уже дальше все править, если потребуется. Хорошо?",,,,,,,,,,,,,,,,,,,,,
"Присоединение к клиенту, информируем, что всю информацию по дизайну зафиксировали",НОВАЯ ВОРОНКА ОП1,4.2 Зафиксировали дизайн,"Супер  Тогда фиксирую под Вас этот вариант и ставлю его в работу, а дальше уже спокойно доведём до готового изделия)",,,,,,,,,,,,,,,,,,,,,
Рассказываем клиенту про способы оплаты заказа,НОВАЯ ВОРОНКА ОП1,5. Оформление,"Получается сумма заказа - 

А по оплате у нас есть 2 удобных варианта:

1. Можно внести всю сумму и получить подарок на выбор - кепку с нашивкой флага РФ или белую футболку ❤️

2. Частями:
- Первая оплата всего 500 рублей, после которой мы изготавливаем макет (правки бесплатные)
- Далее 50% от стоимости заказа для изготовления
- И после 50% от стоимости уже ПРИ ПОЛУЧЕНИИ ЗАКАЗА (при доставке СДЭКом)

Прикрепляю наши отзывы! 

Удобно оплатить всю сумму сразу с подарком или сначала 500 рублей?)

[photo-228420497_456240496]
[photo-228420497_456240497]
[photo-228420497_456240498]",,,,,,,,,,,,,,,,,,,,,
Уточняем данные для оформления заказа и доставки,НОВАЯ ВОРОНКА ОП1,5.1 данные перед оформлением,"Отлично, тогда подскажите, пожалуйста,  ФИО и номер телефона получателя посылки, выставлю счет на предоплату и внесу заказ в систему ❤",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиенту ссылку на оплату + сразу прикрепляем кр-код на оплату, чтобы клиенту было удобно оплатить через сбп",НОВАЯ ВОРОНКА ОП1,5.2 Ссылка на оплату,"Вот счет-ссылка на 500 рублей. Есть удобная оплата по СБП (данные карты вводить не нужно):

Также можете оплатить по QR-коду, тогда и переходить никуда не нужно 

Жду скриншот чека, пока формирую заявку на производство 

Ссылка действительна час. Ожидаю сейчас? ❤️",,,,,,,,,,,,,,,,,,,,,
"Если клиент не понимает, как оплатить по ссылке, прикрепляем видео с видео-инструкцией, как оплатить",НОВАЯ ВОРОНКА ОП1,Видео как оплатить по ссылке,"Записала для Вас видео, как оплатить по ссылке
[video-44440184_456240576]",,,,,,,,,,,,,,,,,,,,,
"Отправляем после того, как клиент скинул скриншот об оплате. Уточняем детали заказа - удобный ПВЗ СДЭКа",НОВАЯ ВОРОНКА ОП1,6. Уточняем СДЭК,"Благодарю Вас за заказ и за доверие! Номер Вашего заказа: [Заказ.Номер]

Теперь пришлите, пожалуйста, адрес пункта выдачи СДЭК, где Вам будет удобно получить заказ (не постамат).

По этой ссылке можно выбрать удобный ПВЗ в вашем городе: https://www.cdek.ru/ru/offices/

Получится сейчас?",,,,,,,,,,,,,,,,,,,,,
"Отправляем после того, как клиент скинул скриншот об оплате. Уточняем детали заказа - полный адрес проживания",НОВАЯ ВОРОНКА ОП1,6. Уточняем почту,"Благодарю Вас за заказ и за доверие! Номер Вашего заказа: 

Пришлите, пожалуйста, полный адрес доставки (населенный пункт, улицу, номер дома и почтовый индекс)

Получится сейчас?",,,,,,,,,,,,,,,,,,,,,
"Отправляем, если у клиента в городе есть СДЭК, но он выбирает способ доставки - почта",НОВАЯ ВОРОНКА ОП1,❗Отработка почты,"[Имя], предлагаю все же рассмотреть доставку именно СДЭКом, тк она намного выгоднее и ваша посылка точно приедет в срок, нигде не задерживаясь

Получение в пункте выдачи простое - по паспорту или коду, который придет Вам в смс. 

Давайте помогу подобрать Вам удобный пункт выдачи?",,,,,,,,,,,,,,,,,,,,,
"Отправляем перед тем, как предложить клиенту доп. товары",НОВАЯ ВОРОНКА ОП1,1. Перед допами,"[Имя], начала готовить Ваш заказ на макет)

И кстати, у меня есть несколько идей, как можно сделать изделие еще интереснее и дороже по виду.
Сейчас покажу варианты, а вы скажете - добавляем или оставляем как есть. Только не сердитесь, это моя работа",,,,,,,,,,,,,,,,,,,,,
Скрипты по продаже вышивки,НОВАЯ ВОРОНКА ОП1,2. Доп. вышивка,"[Имя], сейчас у Вас выбран вариант нанесения - принт, но можно улучшить его - добавить вышивку нитками на все изделие или отдельные элементы.

Многие клиенты выбирают комбинированный вариант: часть деталей делают принтом, а например, надписи и герб делают вышивкой. Так изделие выглядит более статусно и объёмно))

Какие детали хотели бы вышивкой сделать?

[photo-228420497_456240612]
[photo-228420497_456240614]
[photo-228420497_456240613]
[photo-228420497_456240615]
[photo-228420497_456240616]
[video-228420497_456239094]
[video-44440184_456240332]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,❗Игнор после вышивки,"Подскажите, добавим в ваш дизайн герб на спине или на груди в формате вышивки?

Очень жду вашего ответа",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Доп. вышивка (видео с производство),"[Имя], кстати, хочу показать вам процесс 

Вот так вышивка рождается, каждый стежок ложится прямо в ткань. Смотрите, какая фактура и объём получаются 

Одно изделие вышивается 10–16 часов. Да, долго. Но ради такого результата - оно того точно стоит!

Так что выбираем: добавим вышивку к вашему дизайну или оставляем термопринт?

[video-44440184_456240332]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Отработка вышивка (только герб),"Понимаю, что разница в цене существенная) 

Термопринт — это хорошо. Он яркий, аккуратный, прослужит несколько лет при бережной носке.
Вышивка — это другой уровень. Её невозможно убить. Через 5 лет будет выглядеть как новая И тактильно — совсем другие ощущения.

Как вариант, могу предложить вам вышить отдельные элементы - так и побюджетнее получится и вид будет потрясный! 
Например, можно герб на груди вышить, всего + 3490р, а выглядит очень здоровски!

Сделаем так? 

[photo-228420497_456240500]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Отработка ДОРОГО ВЫШИВКА,"Понимаю, разница существенная. Вышивка действительно стоит дороже — это работа высокого качества, которая служит десятилетиями. Термопринт, который включён в базовую цену, тоже качественный. Он вас точно не подведёт! 

Мы используем термопринт — это не обычная наклейка, а плотное нанесение, которое выдерживает стирку при 30°. Он не трескается и не стирается, даже при регулярной носке. ❤
[video77413228_456239071]
Какой вариант вам подходит?)",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,РАСЧЕТ ВЫШИВКИ,"Я посчитала стоимость вышивки для вашего дизайна:
- дизайн на спине:  [сумма] ₽
- дизайн на груди: [сумма] ₽
- флаг на рукаве: [сумма] ₽
- Худи:  [сумма] ₽
Итого стоимость такой классной толстовки: [сумма] ₽

Что вы получаете за эти деньги:
▪ Объёмная, фактурная вышивка, которую приятно трогать!
▪ Гарантия, что она не потрескается, не выцветет и не отклеится через год!
▪ Вещь на годы - такую толстовку не стыдно носить и через 5 лет!
▪ Уникальность - ваш дизайн, выполненный в премиальном качестве!

Как вам вариант с вышивкой? Рассматриваете или оставляем термопринт?",,,,,,,,,,,,,,,,,,,,,
Дополнительная продажа принта на спине,НОВАЯ ВОРОНКА ОП1,3. Доп. принт на спине,"[Имя], предлагаю сделать принт на спине

Можем сделать герб + вашу фамилию или герб + ""Мы русские с нами Бог""

Стоимость символическая, всего +1190р

Что хотели бы изобразить?
[photo-228420497_456240204]
[photo-228420497_456240208]
[photo-228420497_456240207]
[photo-228420497_456240205]
[photo-228420497_456240202]
[photo-228420497_456240209]",,,,,,,,,,,,,,,,,,,,,
Отработка отказа от принта на спине,НОВАЯ ВОРОНКА ОП1,❗Отказ от принта,"Поняла вас  Просто спинка очень дополняет худи, с аккуратным принтом выглядит уже как полноценная дорогая модель.

Поэтому для вас могу сделать скидочку - 890р вместо 1190р 

Можно сделать минималистично и со вкусом: фамилия, герб, дата или красивая фраза. Ничего лишнего, только стильный акцент.

Давайте добавим?)",,,,,,,,,,,,,,,,,,,,,
Дополнительная продажа градиентного принта,НОВАЯ ВОРОНКА ОП1,4. Доп. принт-градиент,"А еще мы можем сделать градиентный принт
Это наша НОВИНКА

Он смотрится оочень красиво, создает интересный эффект на свету и выглядит дороже, чем обычный принт. Также этот принт дольше сохраняет свой вид после множества стирок. Можно сделать в любом цвете.

Стоимость 2590₽, на мой взгляд, отличное дополнение для вашей вещи
Сделаем?

[photo-228420497_456240535]
[photo-228420497_456240536]
[photo-228420497_456240537]
[photo-228420497_456240538]",,,,,,,,,,,,,,,,,,,,,
Отработка отказа от градиентного принта,НОВАЯ ВОРОНКА ОП1,❗Отказ от градиента,"Поняла вас... Просто сейчас на градиентный принт могу Вам сделать спец. цену - 1990₽ вместо 2590₽.

Честно, именно этот эффект чаще всего делает вещь визуально намного дороже и необычнее. Особенно красиво выглядит при дневном свете и на фото И потом такой эффект уже не добавить отдельно...

Давайте сделаем по скидке за 1990₽?",,,,,,,,,,,,,,,,,,,,,
Дополнительная продажа красивого шрифта,НОВАЯ ВОРОНКА ОП1,5. Доп. шрифт от дизайнера,"И не могу не показать шрифты, которыми мы можем украсить надпись

Особое внимание хочу обратить на шрифты от нашего ведущего дизайнера, который разработал их специально под патриотические толстовки!

Они станут отличным дополнением к дизайну, который Вы уже выбрали! По стоимости дизайнерский шрифт всего +590р

Добавим 3 или 4? А может 5 или 6?
[photo-44440184_457314085]",,,,,,,,,,,,,,,,,,,,,
"Отправляем этот скрипт и ждем, пока дизайнер сделает макет по ранее согласованному дизайну",НОВАЯ ВОРОНКА ОП1,6. Передали на макет,"Благодарю, информацию по дизайну зафиксировала 

Данные передала дизайнеру, в ближайшее время пришлем макет с Вашим дизайном",,,,,,,,,,,,,,,,,,,,,
"Пока макет делает дизайнер, предлагаем клиенту добавить второе изделие в заказ, чтобы сразу же сделать 2 макета",НОВАЯ ВОРОНКА ОП1,7. Доп. второе изделие в заказ,"Ваш первый макет уже отправлен дизайнеру в работу ✨

Пока он отрисовывается, можем сразу добавить второй макет для близкого человека (муж/жена/ребёнок/друг).

Второе изделие сейчас по спеццене 4590₽, и мы сразу подготовим для него отдельный дизайн: можно в том же стиле или совершенно новый.

Сделать вам второй макет сразу вместе с первым, чтобы дизайнер отрисовал оба варианта?

[photo-228420497_456240649]
[photo-228420497_456240573]
[photo-228420497_456240555]
[photo-228420497_456240551]",,,,,,,,,,,,,,,,,,,,,
"Отправляем этот скрипт, когда макет уже согласован с клиентом, правильно оформлен заказ и мы подводим итоги заказа",НОВАЯ ВОРОНКА ОП1,Итоги заказа (ПЕРЕДАЧА НА ВЕДЕНИЕ),"Давайте с Вами подытожим и проверим Ваш заказ:

Номер Вашего заказа: [Заказ.Номер]

Итог: 
[Корзина]

1. Дизайн:
[Заказ.Примечания (внутренние)]

2. Размер:
[Заказ.Рост]
[Заказ.Вес]

3. ФИО и телефон
[Доставка.ФИО]
[Доставка.Телефон]

Все ли правильно по заказу?❤",,,,,,,,,,,,,,,,,,,,,
"Отправляем, когда клиент просит прислать дополнительно необычные дизайны, которые мы когда-то делали клиентам",НОВАЯ ВОРОНКА ОП1,Необычные дизайны худи,"Вот такие необычные дизайны мы делали для клиентов:
[photo-44440184_457331434]
[photo-44440184_457325827]
[photo-44440184_457325828]
[photo-44440184_457325829]
[photo-44440184_457325830]
[photo-44440184_457325831]
[photo-44440184_457325832]
[photo-44440184_457325833]
[photo-44440184_457325834]",,,,,,,,,,,,,,,,,,,,,
Стоимость доп. товара - лонгслив,НОВАЯ ВОРОНКА ОП1,Цена - лонгслив,"Стоимость лонгслива с термо-принтами со скидкой - 3.290р (вместо 4.790р)
*вышивка нитками не входит в стоимость, рассчитывается индивидуально

Лонгслив отшиваем в черном и белом цвете. Какой выбираете? 

[photo-44440184_457336726]
[photo-44440184_457336727]
[photo-44440184_457336728]",,,,,,,,,,,,,,,,,,,,,
Дополнительные фотографии изделий для клиентов,НОВАЯ ВОРОНКА ОП1,Фото - регионы,"&nbsp;
[photo-44440184_457337622]
[photo-44440184_457337620]
[photo-44440184_457337621]
[photo-44440184_457337619]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Фото - градиент,"&nbsp;
[photo-44440184_457332193]
[photo-44440184_457332194]
[photo-44440184_457332195]
[photo-44440184_457332196]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Фото КРБ,"Этот костюм мы отшиваем в 4-х цветах: черный, серый, синий и зеленый

[photo-228420497_456240568]
[photo-228420497_456240569]
[photo-228420497_456240570]
[photo-228420497_456240571]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Фото КХШ,"Этот костюм мы отшиваем в 2-х цветах: синий и зеленый

[photo-44440184_457304754]
[photo-44440184_457303345]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Фото жилеток,"Жилетки есть в двух цветах: черная и бежевая
Какая вам больше нравится?
[photo-228420497_456240322]
[photo-228420497_456240321]",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиентам, когда они просят прислать весь каталог и выбрать интересующий товар уже из него",НОВАЯ ВОРОНКА ОП1,Каталог,"Это наш актуальный каталог 

Сделали несколько вариантов с индивидуальным дизайном: футболки, худи, свитшоты и тактические костюмы.
Можно изменить имя, номер, надписи и символику под вас.

Какой вариант вам понравился больше всего? 
[photo-228420497_456240450]
[photo-228420497_456240694]
[photo-228420497_456240695]
[photo-228420497_456240693]
[photo-228420497_456240752]
[photo-228420497_456240753]
[photo-228420497_456240754]",,,,,,,,,,,,,,,,,,,,,
Дополнительные способы оплаты,НОВАЯ ВОРОНКА ОП1,"Рассрочка ""ДОЛЯМИ""","Чтобы было удобнее оплачивать, можем оформить для Вас «Долями» от Т-банка .

Как работает:
• доступная сумма - от 4 до 70 000 ₽
• проверка кредитной истории не требуется
• сумма заказа делится на 4 равные части по 25%
• платежи списываются раз в 2 недели
• первый платёж - сразу при оформлении заказа

Иногда в первый платёж включается сервисный сбор (индивидуальный, в среднем около 7%).

⭐ В чём плюс: мы начинаем изготовление заказа сразу, не откладываем в долгий ящик, при этом нагрузка на бюджет минимальная - платёж распределяется постепенно.

Давайте рассчитаю для Вас сумму первого платежа сейчас?",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,"Оплата ""ДОЛЯМИ""","Подготовила для Вас инструкцию, как оплатить заказ

1. Переходите по ссылке для оплаты:

2. Введите номер телефона и код, который придет по номеру 

3. Проверьте свои ФИО и номер телефона, нажимайте ""Продолжить""

4. Выберите срок оплаты и карту, с которой будет оплачиваться покупка, нажимайте ""Оплатить""

Ссылка действительна час. Ожидаю сейчас?
[video-228420497_456239093]",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Яндекс Сплит,"Яндекс Сплит - возможность оформить заказ с оплатой частями 

Оплатить можно 3 способами:

1. Полная оплата с кешбеком баллами плюса

2. Частями на 2 месяца. Без переплат и с первым платежом сегодня! (Общая сумма заказа делится на 4 части, платеж каждые 2 недели)

3. Сплитом без переплат/с переплатами (у всех индивидуальные условия здесь) от 4 до 24 месяцев (НО на рассрочку от 12 месяцев действует фиксированная сумму заказа, от 15.000₽)

Какой вариант удобнее?",,,,,,,,,,,,,,,,,,,,,
,НОВАЯ ВОРОНКА ОП1,Оплата сплитом,"Подготовила для Вас инструкцию, как оплатить заказ

1. Переходите по ссылке для оплаты: 

2. Выбираете удобный вариант оплаты:
- Полная оплата с кешбеком баллами плюса
- Частями без переплат. Первый платеж сегодня - 25% от стоимости заказа, далее по графику каждые 2 недели (размер платежа - 25% от стоимости заказа)
- Рассрочка от 4 до 24 месяцев (при стоимости заказа от 15.000р)

3. Привязываете карту для оплаты

4. Нажимаете ""Оплатить""

Жду скриншот чека, пока формирую заявку на производство 

Ссылка действительна час. Ожидаю сейчас?
[photo-44440184_457306401]",,,,,,,,,,,,,,,,,,,,,
"Видео с изготовлением термо-принта, отправляем клиентам, чтобы показать качество",НОВАЯ ВОРОНКА ОП1,Изготовление принта,[video-228420497_456239100],,,,,,,,,,,,,,,,,,,,,
"Отправляем клиентам, которым важно понимать качество и материал свитшота",НОВАЯ ВОРОНКА ОП1,Материал свитшота,"✅Состав наших изделий: вискоза/хлопок - 85%, полиэстер - 15%.
Мы шьём их сами — ткань отбираем лично, всё производство под контролем.

✅Ткань у нас футер, достаточно плотная, мягкая, поэтому изделие очень приятное к телу

[photo-44440184_457401246]",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиентам в качестве отработки возражения, если например основное изделие не подходит по цене или клиент сам интересуется футболками",НОВАЯ ВОРОНКА ОП1,Футболка за 2790,"В наличии есть футболка с уже любимыми дизайнами

Это полноценная вещь в гардеробе, которую можно носить уже сейчас в жару. Хлопок 100%, комфортна при любой температуре

Её можно взять как самостоятельную вещь или как дополнение к основному изделию — с тем же дизайном или с другим вариантом, чтобы собрать комплект или расширить образ

По стоимости - 2790р с дизайном

Вы выбираете любой принт: имя, символ, орнамент или персональный дизайн — мы аккуратно переносим его на футболку)

Напишите, какой дизайн хотите? Покажу, как будет выглядеть на макете 

[photo-228420497_456240714]
[photo-228420497_456240715]
[photo-228420497_456240716]
[photo-228420497_456240717]
[photo-228420497_456240718]",,,,,,,,,,,,,,,,,,,,,
Скрипты для отработки различных возражений,Возражения,Дорого,"Правильно понимаю, что по изделию и дизайну все нравится, но нет возможности оплатить изделие сейчас полностью?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого,"Мы делаем индивидуальный дизайн, который не похож на другие изделия, и который второй такой не встретить уже,потому что его создаете вы по своим желаниям) 

Согласитесь такая вещь не может стоить дешево?)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого (2 или 3 день),"Так как это ваш первый заказ, смогу сделать для вас доп.скидочку)

Толстовочка выйдет по цене всего 4990 рублей) 

Понимаю, выходит возможно больше, чем вы планировали, но мы всё отшиваем из премиальных материалов, по вашим параметрам и с вашим индивидуальным дизайном) 
За пошивом у нас строгий контроль, а такое хорошее качество сейчас действительно сложно найти

Оформим со скидочкой?)",,,,,,,,,,,,,,,,,,,,,
,Возражения,сверюсь с параметрами и позже закажу,"Хорошо, по размеру можем поменять - мы его уточняем перед пошивом
А пока можем приступить к согласованию макета и остальных деталей, удобно будет?)",,,,,,,,,,,,,,,,,,,,,
,Возражения,"на работе , позже","Не отниму у Вас много времени, буквально минутку оформление займет, сразу зафиксирую вашу акционную стоимость, передам пожелания дизайнеру, внесу заказ в очередь 

А ещё добавлю Вам от себя в подарок футболочку базовую) Получится уделить минутку в итоге?",,,,,,,,,,,,,,,,,,,,,
,Возражения,если это не принт отказ,"Мы же в свою очередь отшиваем всё сами из премиальных материалов, на WB же продают обычно сомнительное качество, чаще всего Китай (и отшивать будем строго под ваши параметры, не нужно будет беспокоиться насчёт размера) 

Разве это не важно?",,,,,,,,,,,,,,,,,,,,,
,Возражения,дорого с вышивкой,"Я вас понимаю, конечно, сумма и правда выйдет немаленькая вышивкой, особенно если сделать дизайн полностью( 
Но за ручное производства это вполне оправданная цена) 
Может быть сделаем, например, вышивкой герб на спине, а остальное оставим термопринтом?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Добивка оплата,"Там все очень просто:

1. Открываете ссылку
2. Выбираете оплату картой или куар-кодом
3. Нажимаете на кнопку СБП
4. Выбираете свой банк
5. Нажимаете оплатить
6. Оплачиваете в мобильном банке

Даже номер карты вводить не нужно , всё быстро и легко",,,,,,,,,,,,,,,,,,,,,
,Возражения,почему переносите,"Подскажите, а почему переносите оформление?)
Нужной суммы пока нет или причина в другом?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого,"Дело в том, что стоимость мы устанавливаем согласно качеству, выборе поставщика, профессионального нанесения принта и вышивки)

Уже не раз было такое, что клиенты возвращались к нам из других фирм, так как худи мог износиться/прийти в негодность после стрики.

Подскажите, вы на какой бюджет рассчитывали?",,,,,,,,,,,,,,,,,,,,,
,Возражения,бронь,"У нас планируется повышение цен скоро, не хочу, чтобы вас это коснулось((

Можем зафиксировать за Вами скидку + подарок, если внесёте 300 рублей, а к работе приступить, как Вам будет удобно. Мы пока сделаем макет) При оформлении сегодня положу футболку в подарок)

Отправим к любой нужной дате, хоть через год. Цена и подарки будут зафиксированы за Вами, и Вам останется только написать нам) Эти деньги будут вычитаться из суммы заказа) 

Давайте забронируем?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Принт (вышивка дорого),"Мы используем термопринт — это не обычная наклейка, а плотное нанесение, которое выдерживает стирку при 30°. Он не трескается и не стирается, даже при регулярной носке.

Давайте сделаем с принтом? Красиво, стильно и качественно)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Бронь 300,"Мы можем оформить для вас отложенную покупку с бронью к нужной дате ❤️

Предоплата минимальная и удобная: всего 300₽.
С этой суммы уже фиксируются акции, создаётся макет, а дальше:

50% — перед изготовлением (когда вам будет комфортно)
Остаток — при получении

Оформление можно будет дооформить позже: хоть через 2 недели, хоть через месяц. Главное за вами сохраняется цена со скидкой ❤️

Давайте оставим бронь за вами, а к оформлению вернёмся, когда вам будет удобно, хорошо?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Перс пинг вчерашних,"Здравствуйте [Имя], мы с Вами вчера обсуждали толстовку, подскажите, такой дизайн будем делать?)

На груди слева - герб РФ
На груди по центру - надпись ""РОССИЯ""
На рукаве справа - флаг РФ
На спине - герб РФ + """,,,,,,,,,,,,,,,,,,,,,
,Возражения,заход на бронь,"Просто скидка только день в день работает, далее сумма повысится, могу предложить вам забронировать стоимость, рассказать как работает?",,,,,,,,,,,,,,,,,,,,,
,Возражения,бронь 200,"Мы можем оформить заказ по минимальной предоплате 200р, сделаем макет для вас, а далее можете вносить частями как вам будет удобно)

Когда внесете до 50% мы начнем изготовление, а остаток сможете оплатить при получении)

Подходит такой вариант?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Главный дизайнер 1,"Нам с Вами очень повезло!
Освободился наш главный дизайнер и будет здорово, если он займется Вашим заказом, у нас все клиенты его очень хвалят)
Жду ответа только от Вас и сразу же приступим к работе, хорошо?)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Главный дизайнер 2,"Вам не придется долго ждать, макет будет готов уже в течение 5-10 минут",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого - 4490 рублей,"Так как это ваш первый заказ, смогу сделать для вас доп.скидочку)

Толстовочка выйдет по цене всего 4990 рублей) 

Понимаю, выходит возможно больше, чем вы планировали, но мы всё отшиваем из премиальных материалов, по вашим параметрам и с вашим индивидуальным дизайном) 
За пошивом у нас строгий контроль, а такое хорошее качество сейчас действительно сложно найти

Оформим со скидочкой?)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Занят сейчас,"Не отниму у Вас много времени, буквально минутку оформление займет, сразу зафиксирую вашу акционную стоимость, передам пожелания дизайнеру, внесу заказ в очередь

А ещё добавлю Вам от себя в подарок футболочку базовую) Получится уделить минутку в итоге?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Последний пинг,"Я работаю до 21.00, очень хочется успеть оформить Ваш заказ до повышения цен!)",,,,,,,,,,,,,,,,,,,,,
,Возражения,сроки изготовления,"Макет нарисуем за 20-30 минут, изготовим за 10-14 дней, затем доставка, до вас примерно 2-3 дня)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - жду Вашего ответа,"Cижу и жду Вашего ответа...
[photo-228420497_456240158]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - давайте начистоту,"Давайте начистоту, из-за чего молчите? 

1. Заказ не актуален
2. Сомневаюсь в предоплате
3. У вас дорого
4. Планирую делать заказ позже
5. Нет времени пообщаться
6. Думаю что вы мошенники
7. Другое...",,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - если долго не отвечать,"[Имя], если долго не отвечать менеджеру, говорят, он начинает появляться во снах..

Предупреждаю заранее",,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - что вам не подошло?,Что вам в итоге не подошло?,,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - сплит,"[Имя], очень надеюсь, что вы не пропали! 

Если сейчас нет возможности оплатить всю сумму сразу — могу предложить оплату сплитом от Яндекс. 4 равные платежа, платеж каждые 2 недели.

Давайте расскажу подробнее?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Игнор - после способов оплаты,"[Имя], я вижу Вы замолчали после способов оплаты. Вы боитесь что Вам размер не подойдет или вопрос в доверии?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Подумаю - дизайн или финансы?,"Подскажите, думаете над дизайном или вопрос упирается в финансовую сторону?",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого - какой бюджет?,"А вы на какой бюджет рассчитывали примерно?

Согласую у руководства для вас максимальную скидку)",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого - из чего складывается цена,"[Имя], давайте распишу более подробно, из чего складывается цена☺️

✅У нас свое производство в городе Казань, на нашем счету более 6000 довольных клиентов, мы гордимся нашим качеством

✅Состав наших изделий: вискоза/хлопок - 85%, полиэстер - 15%.
Мы шьём их сами — ткань отбираем лично, всё производство под контролем. 

✅Ткань у нас футер, достаточно плотная, мягкая, поэтому изделие очень приятное к телу 

✅Индивидуальный принт, учитывая любые ваши пожелания

Сейчас сложно найти что-то стоящее, включающее в себя и качество и красоту! Будет сшито под вас, по вашим размерам, только ваше!☺️

Согласны, что цена оправдана?

[video-228420497_456239097]
[photo-228420497_456240768]",,,,,,,,,,,,,,,,,,,,,
,Возражения,Дорого - из чего складывается цена (камуфляж),"Понимаю  Обычно дорого говорят, когда сравнивают с обычными костюмами с маркетплейсов.

Но это же не обычный костюм. Вы можете сделать полностью свой дизайн:
имя, позывной, любые эмблемы, символы — под вас.
И второго такого костюма просто не будет.

По факту вы платите не только за костюм, а за свой дизайн + усиленную экипировку (качественная ткань рип-стоп, наколенники, налокотники, футболка и очки).

На маркетплейсах такого нет — там просто базовый костюм без персонализации.

Согласитесь, что за такой большой комплект, цена вполне оправдана?

[photo-228420497_456240770]
[clip-228420497_456239115]",,,,,,,,,,,,,,,,,,,,,
